group,file,title,meaning
hidraulica,01_local_variables_by_h,De H_dam a variables locales,"Muestra la traducción desde la altura inicial dam-break hacia profundidad local, velocidad, solicitación local M y Froude. La serie sin bloque es la base transferible."
hidraulica,02_with_block_ratios,Perturbación por bloque,Compara con bloque de referencia contra sin bloque para la misma H_dam. Si la razón es 1 no hay cambio; sobre 1 aumenta; bajo 1 disminuye.
hidraulica,03_local_feature_space,Espacio h-u local,Ubica cada corrida en el plano profundidad local vs velocidad local y muestra la solicitación M usada por el GP local. Color/forma separan sin bloque y con bloque de referencia.
hidraulica,04_unblocked_hydrographs,Series locales sin bloque,Muestra la llegada temporal del flujo no obstruido. La entrada local se obtiene desde gauges antes del bloque y no solo desde H_dam.
hidraulica,05_with_block_hydrographs,Series locales con bloque,"Muestra cómo cambia la señal local cuando el bloque está presente. Es diagnóstico de interacción, no la entrada principal de la ecuación."
hidraulica,06_block_reference_motion,Movimiento del bloque de referencia,Verifica que el bloque usado como obstrucción se mantuvo casi fijo: todos los casos disponibles quedan bajo 2% de d_eq.
traduccion,07_translated_local_momentum_map,Mapa observado en solicitación local,"Reexpresa los casos oficiales de resultados como solicitación local M sin bloque vs fricción, separado por masa relativa. Es evidencia observada traducida, no un GP nuevo."
traduccion,08_translated_margin_vs_momentum,Margen de falla vs solicitación local,Muestra cuánto queda cada caso sobre o bajo el umbral de 5% d_eq después de reemplazar H_dam por M. El eje vertical se trunca para enfocar la zona cercana al umbral.
traduccion,09_translated_displacement_vs_local_forcing,Desplazamiento observado vs solicitación local,Relaciona el desplazamiento máximo observado con la solicitación local M. La línea punteada es el criterio de falla; el eje se trunca para no esconder la zona cercana al umbral.
modelo,10_validacion_gp_local,Validación GP local,"Muestra el desempeño leave-one-out del modelo que usa M, mu y m*. Es una herramienta de interpolación; no reemplaza simulaciones SPH."
